activation,dominance,valence,gender,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
2.6667,2.6667,4,F,6.083,5.583,2.833,3.75,5.667
3.3333,2.6667,4.3333,M,5.583,5.583,4.417,2.833,4.833
3,2.3333,4.3333,F,6.083,5.583,2.833,3.75,5.667
4.6667,3,5,M,5.583,5.583,4.417,2.833,4.833
4,3,5,F,6.083,5.583,2.833,3.75,5.667
4,2.3333,4.6667,M,5.583,5.583,4.417,2.833,4.833
3.6667,2.3333,4.6667,F,6.083,5.583,2.833,3.75,5.667
4,2.3333,4.3333,F,6.083,5.583,2.833,3.75,5.667
3.3333,2.3333,4,M,5.583,5.583,4.417,2.833,4.833
3.3333,2.6667,4,F,6.083,5.583,2.833,3.75,5.667
2.6667,2.3333,4,M,5.583,5.583,4.417,2.833,4.833
3.3333,2.3333,4,F,6.083,5.583,2.833,3.75,5.667
3,2.3333,4,M,5.583,5.583,4.417,2.833,4.833
3.3333,2.3333,4,F,6.083,5.583,2.833,3.75,5.667
2.6667,2,4,M,5.583,5.583,4.417,2.833,4.833
2.6667,2.3333,4,F,6.083,5.583,2.833,3.75,5.667
2.3333,2.3333,3.6667,M,5.583,5.583,4.417,2.833,4.833
3.3333,3,4,F,6.083,5.583,2.833,3.75,5.667
3.3333,3,4,M,5.583,5.583,4.417,2.833,4.833
3,2.3333,4,F,6.083,5.583,2.833,3.75,5.667
3.6667,2.6667,3.6667,M,5.583,5.583,4.417,2.833,4.833
3.6667,2.6667,4,F,6.083,5.583,2.833,3.75,5.667
3.6667,2.6667,4.3333,M,5.583,5.583,4.417,2.833,4.833
4,3.3333,5,F,6.083,5.583,2.833,3.75,5.667
4,3,4.6667,M,5.583,5.583,4.417,2.833,4.833
3.3333,2.3333,4,F,6.083,5.583,2.833,3.75,5.667
3.6667,2.6667,4.3333,M,5.583,5.583,4.417,2.833,4.833
3.6667,3,4.6667,F,6.083,5.583,2.833,3.75,5.667
3,2.6667,4,M,5.583,5.583,4.417,2.833,4.833
3,2.3333,4,F,6.083,5.583,2.833,3.75,5.667
2.6667,2.6667,3.6667,M,5.583,5.583,4.417,2.833,4.833
2.6667,2.3333,3.6667,F,6.083,5.583,2.833,3.75,5.667
3.6667,2.3333,3.6667,M,5.583,5.583,4.417,2.833,4.833
3,2,3.6667,F,6.083,5.583,2.833,3.75,5.667
2.6667,2.6667,3,M,5.583,5.583,4.417,2.833,4.833
2.3333,2,3.6667,F,6.083,5.583,2.833,3.75,5.667
3,2.3333,3,M,5.583,5.583,4.417,2.833,4.833
3,2.3333,3.6667,F,6.083,5.583,2.833,3.75,5.667
3.6667,2.6667,3.3333,F,6.083,5.583,2.833,3.75,5.667
3,2.6667,3.3333,M,5.583,5.583,4.417,2.833,4.833
2.6667,2,3.3333,F,6.083,5.583,2.833,3.75,5.667
3.3333,2.6667,3,M,5.583,5.583,4.417,2.833,4.833
2.3333,2,3,F,6.083,5.583,2.833,3.75,5.667
3,2.6667,4.3333,F,6.083,5.583,2.833,3.75,5.667
3.3333,2.6667,4,M,5.583,5.583,4.417,2.833,4.833
4.3333,3.6667,4.6667,M,5.583,5.583,4.417,2.833,4.833
3.3333,3.3333,4.3333,F,6.083,5.583,2.833,3.75,5.667
2.6667,2.3333,3.6667,M,5.583,5.583,4.417,2.833,4.833
4,3,4.6667,F,6.083,5.583,2.833,3.75,5.667
2.5,2.5,3,M,4.75,5,6.25,1.583,5.333
3,3,3,F,4.417,1.833,2.5,6.333,2.917
2.5,2,3,M,4.75,5,6.25,1.583,5.333
2.5,3,2.5,F,4.417,1.833,2.5,6.333,2.917
2.5,3,3,M,4.75,5,6.25,1.583,5.333
3.5,3,2.5,F,4.417,1.833,2.5,6.333,2.917
2.5,2.5,3,M,4.75,5,6.25,1.583,5.333
3,3,3,M,4.75,5,6.25,1.583,5.333
3,2.5,2.5,F,4.417,1.833,2.5,6.333,2.917
3,3,3,M,4.75,5,6.25,1.583,5.333
2.5,2,2.5,F,4.417,1.833,2.5,6.333,2.917
3.5,2.5,3,M,4.75,5,6.25,1.583,5.333
2,2.5,3,F,4.417,1.833,2.5,6.333,2.917
3.5,3.5,3,F,4.417,1.833,2.5,6.333,2.917
3,2.5,3.5,M,4.75,5,6.25,1.583,5.333
3.5,4,3,F,4.417,1.833,2.5,6.333,2.917
3,2.5,3,M,4.75,5,6.25,1.583,5.333
3.5,3.5,2,F,4.417,1.833,2.5,6.333,2.917
3,3,3,M,4.75,5,6.25,1.583,5.333
2.5,2.5,2.5,F,4.417,1.833,2.5,6.333,2.917
2.5,2,3,M,4.75,5,6.25,1.583,5.333
3.5,3,2,F,4.417,1.833,2.5,6.333,2.917
3,2.5,3,M,4.75,5,6.25,1.583,5.333
3,3,2.5,F,4.417,1.833,2.5,6.333,2.917
3,2.5,3,M,4.75,5,6.25,1.583,5.333
2.5,4,2.5,F,4.417,1.833,2.5,6.333,2.917
2,3,3,M,4.75,5,6.25,1.583,5.333
3.5,3.5,3,F,4.417,1.833,2.5,6.333,2.917
3.5,3.5,3.5,M,4.75,5,6.25,1.583,5.333
3,2.5,2.5,F,4.417,1.833,2.5,6.333,2.917
4,3.5,2,F,4.417,1.833,2.5,6.333,2.917
3.5,3,2.5,M,4.75,5,6.25,1.583,5.333
4,3.5,2,F,4.417,1.833,2.5,6.333,2.917
2.5,2.5,3,M,4.75,5,6.25,1.583,5.333
4.5,4,2,F,4.417,1.833,2.5,6.333,2.917
3.5,3,3,M,4.75,5,6.25,1.583,5.333
4.5,3.5,2,F,4.417,1.833,2.5,6.333,2.917
3.5,3,3,M,4.75,5,6.25,1.583,5.333
3.5,3,3,F,4.417,1.833,2.5,6.333,2.917
2.5,2.5,3,M,4.75,5,6.25,1.583,5.333
2.5,2.5,3,M,4.75,5,6.25,1.583,5.333
3,3.5,2,F,4.417,1.833,2.5,6.333,2.917
3.5,3,3.5,M,4.75,5,6.25,1.583,5.333
2,3,2,F,4.417,1.833,2.5,6.333,2.917
2,2.5,2,F,4.417,1.833,2.5,6.333,2.917
2.5,2.5,3,M,4.75,5,6.25,1.583,5.333
2.5,2,2.5,M,4.75,5,6.25,1.583,5.333
2.5,3,2,F,4.417,1.833,2.5,6.333,2.917
2.5,3,3,M,4.75,5,6.25,1.583,5.333
2.5,3.5,2.5,F,4.417,1.833,2.5,6.333,2.917
3.5,3.5,3,M,4.75,5,6.25,1.583,5.333
2.5,3,2.5,F,4.417,1.833,2.5,6.333,2.917
3,3,3.5,M,4.75,5,6.25,1.583,5.333
2,3.5,2.5,F,4.417,1.833,2.5,6.333,2.917
3.5,3.5,3.5,M,4.75,5,6.25,1.583,5.333
2,3,2.5,F,4.417,1.833,2.5,6.333,2.917
2.5,2,3,M,4.75,5,6.25,1.583,5.333
3.5,3.5,2.5,M,4.75,5,6.25,1.583,5.333
3.5,3.5,2,F,4.417,1.833,2.5,6.333,2.917
2.5,3,2.5,M,4.75,5,6.25,1.583,5.333
4,4,1.5,F,4.417,1.833,2.5,6.333,2.917
2.5,2.5,3,M,4.75,5,6.25,1.583,5.333
3.5,4,1.5,F,4.417,1.833,2.5,6.333,2.917
2,1.5,2.5,M,4.75,5,6.25,1.583,5.333
3,3.5,1.5,F,4.417,1.833,2.5,6.333,2.917
3.5,2,2.5,M,4.75,5,6.25,1.583,5.333
2,2,2.5,M,4.75,5,6.25,1.583,5.333
3.5,3.5,2,F,4.417,1.833,2.5,6.333,2.917
3.5,3,2,M,4.75,5,6.25,1.583,5.333
3.5,4.5,1.5,F,4.417,1.833,2.5,6.333,2.917
3,3.5,2.5,M,4.75,5,6.25,1.583,5.333
2,1.5,4,F,6.333,1.75,3.667,6.167,4.417
2.5,2,4,M,4,5.917,6,1.583,4.417
2.5,2.5,2,F,6.333,1.75,3.667,6.167,4.417
2.5,2,4,M,4,5.917,6,1.583,4.417
2.5,2,4,M,4,5.917,6,1.583,4.417
2.5,3.5,2.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,4,M,4,5.917,6,1.583,4.417
3,3.5,2,F,6.333,1.75,3.667,6.167,4.417
1.5,2,3.5,M,4,5.917,6,1.583,4.417
3.5,3.5,2,F,6.333,1.75,3.667,6.167,4.417
2.5,2,3.5,M,4,5.917,6,1.583,4.417
3,3,2.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,3.5,M,4,5.917,6,1.583,4.417
2.5,2.5,2.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,3.5,M,4,5.917,6,1.583,4.417
3,3.5,2.5,F,6.333,1.75,3.667,6.167,4.417
2.5,3.5,2.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,3,M,4,5.917,6,1.583,4.417
2.5,3.5,2.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,2.5,M,4,5.917,6,1.583,4.417
2.5,2,2.5,M,4,5.917,6,1.583,4.417
2.5,2,2.5,M,4,5.917,6,1.583,4.417
4,3.5,2,F,6.333,1.75,3.667,6.167,4.417
2,1.5,2.5,M,4,5.917,6,1.583,4.417
4.5,3.5,2,F,6.333,1.75,3.667,6.167,4.417
2,1.5,2.5,M,4,5.917,6,1.583,4.417
2.5,1.5,2.5,M,4,5.917,6,1.583,4.417
3.5,3,2.5,F,6.333,1.75,3.667,6.167,4.417
2,1.5,2.5,M,4,5.917,6,1.583,4.417
2.5,3,2,F,6.333,1.75,3.667,6.167,4.417
2.5,2,2.5,M,4,5.917,6,1.583,4.417
2.5,2.5,2.5,M,4,5.917,6,1.583,4.417
4,4,1.5,F,6.333,1.75,3.667,6.167,4.417
3.5,2.5,3,M,4,5.917,6,1.583,4.417
4.5,4.5,1.5,F,6.333,1.75,3.667,6.167,4.417
2,2,2.5,M,4,5.917,6,1.583,4.417
2,2,2.5,M,4,5.917,6,1.583,4.417
4.5,4,1.5,F,6.333,1.75,3.667,6.167,4.417
2.5,1.5,2.5,M,4,5.917,6,1.583,4.417
5,4.5,1.5,F,6.333,1.75,3.667,6.167,4.417
2,2,2.5,M,4,5.917,6,1.583,4.417
3.5,2.5,2.5,M,4,5.917,6,1.583,4.417
4,4,1.5,F,6.333,1.75,3.667,6.167,4.417
4,4.5,1.5,F,6.333,1.75,3.667,6.167,4.417
3,2.5,2.5,M,4,5.917,6,1.583,4.417
4.5,4.5,1.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,2.5,M,4,5.917,6,1.583,4.417
2.5,2.5,2.5,M,4,5.917,6,1.583,4.417
4.5,4.5,1.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,2.5,M,4,5.917,6,1.583,4.417
4.5,4,1.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,2.5,M,4,5.917,6,1.583,4.417
3,4,2,F,6.333,1.75,3.667,6.167,4.417
3,4,2,F,6.333,1.75,3.667,6.167,4.417
2.5,2.5,2.5,M,4,5.917,6,1.583,4.417
4.5,4.5,1.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2,3,M,4,5.917,6,1.583,4.417
3.5,3.5,2,F,6.333,1.75,3.667,6.167,4.417
2.5,2.5,3,M,4,5.917,6,1.583,4.417
2.5,4,2,F,6.333,1.75,3.667,6.167,4.417
2.5,2,3,M,4,5.917,6,1.583,4.417
3,4,2,F,6.333,1.75,3.667,6.167,4.417
3,2,2.5,M,4,5.917,6,1.583,4.417
3,3.5,1.5,F,6.333,1.75,3.667,6.167,4.417
2.5,2.5,2.5,M,4,5.917,6,1.583,4.417
3,3.5,2,F,6.333,1.75,3.667,6.167,4.417
2,1.5,2.5,M,4,5.917,6,1.583,4.417
2,3,2.5,M,3.583,5.667,5.583,2.083,4.25
2,3,3.5,F,4.667,5.833,4.917,2.25,5.5
3,3.5,2.5,M,3.583,5.667,5.583,2.083,4.25
2,2,2,F,4.667,5.833,4.917,2.25,5.5
2,3,2.5,M,3.583,5.667,5.583,2.083,4.25
1.5,2.5,2,F,4.667,5.833,4.917,2.25,5.5
2,3.5,2.5,M,3.583,5.667,5.583,2.083,4.25
2,2.5,3,F,4.667,5.833,4.917,2.25,5.5
2,3,3.5,F,4.667,5.833,4.917,2.25,5.5
2,4,2,F,4.667,5.833,4.917,2.25,5.5
3,4,3.5,F,4.667,5.833,4.917,2.25,5.5
3,2.5,3,M,3.583,5.667,5.583,2.083,4.25
3,4,3.5,F,4.667,5.833,4.917,2.25,5.5
3.5,3.5,2.5,F,4.667,5.833,4.917,2.25,5.5
3,3.5,2.5,F,4.667,5.833,4.917,2.25,5.5
2,2.5,3,M,3.583,5.667,5.583,2.083,4.25
2.5,3.5,2,F,4.667,5.833,4.917,2.25,5.5
3,4,2,F,4.667,5.833,4.917,2.25,5.5
2,2.5,3,M,3.583,5.667,5.583,2.083,4.25
3.5,4.5,2,F,4.667,5.833,4.917,2.25,5.5
2,2.5,3,M,3.583,5.667,5.583,2.083,4.25
2,2,2,F,4.667,5.833,4.917,2.25,5.5
2.5,2.5,3,M,3.583,5.667,5.583,2.083,4.25
3,2.5,3,F,4.667,5.833,4.917,2.25,5.5
2.5,2.5,3,M,3.583,5.667,5.583,2.083,4.25
2,2.5,2,F,4.667,5.833,4.917,2.25,5.5
3,3.5,4,F,4.667,5.833,4.917,2.25,5.5
2.5,3,3,M,3.583,5.667,5.583,2.083,4.25
2,3,3,M,3.583,5.667,5.583,2.083,4.25
3,3.5,4,F,4.667,5.833,4.917,2.25,5.5
2.5,2.5,2.5,M,3.583,5.667,5.583,2.083,4.25
3,3.5,4,F,4.667,5.833,4.917,2.25,5.5
2.5,2.5,3,M,3.583,5.667,5.583,2.083,4.25
2,2.5,2.5,F,4.667,5.833,4.917,2.25,5.5
3,4,2.5,F,4.667,5.833,4.917,2.25,5.5
3,4,2,F,4.667,5.833,4.917,2.25,5.5
3,3.5,4,F,4.667,5.833,4.917,2.25,5.5
2.5,2,3,M,3.583,5.667,5.583,2.083,4.25
2,2.5,2.5,F,4.667,5.833,4.917,2.25,5.5
2,3,1.5,F,4.667,5.833,4.917,2.25,5.5
3.5,4.5,3,F,4.667,5.833,4.917,2.25,5.5
3,2.5,3,M,3.583,5.667,5.583,2.083,4.25
3,3.5,3,F,4.667,5.833,4.917,2.25,5.5
2.5,2.5,3,M,3.583,5.667,5.583,2.083,4.25
2,3.5,2,F,4.667,5.833,4.917,2.25,5.5
3.5,4,3,F,4.667,5.833,4.917,2.25,5.5
3,2.5,4,M,3.583,5.667,5.583,2.083,4.25
3,2,3.5,M,6.083,6.167,5.75,3.167,5.417
5,4.5,5,F,6.667,5.75,5.167,4,6.083
4.5,4,4.5,M,6.083,6.167,5.75,3.167,5.417
4,4,4.5,M,6.083,6.167,5.75,3.167,5.417
4.5,3.5,4,F,6.667,5.75,5.167,4,6.083
3.5,2.5,4.5,M,6.083,6.167,5.75,3.167,5.417
4,3,4,F,6.667,5.75,5.167,4,6.083
4,3,4,M,6.083,6.167,5.75,3.167,5.417
4.5,4.5,4.5,F,6.667,5.75,5.167,4,6.083
3.5,3,3,F,6.667,5.75,5.167,4,6.083
4.5,3.5,4.5,M,6.083,6.167,5.75,3.167,5.417
4.5,4.5,5,F,6.667,5.75,5.167,4,6.083
4,3.5,4.5,F,6.667,5.75,5.167,4,6.083
4.5,3.5,4.5,M,6.083,6.167,5.75,3.167,5.417
4.5,4.5,4.5,M,6.083,6.167,5.75,3.167,5.417
4,3.5,4,F,6.667,5.75,5.167,4,6.083
3,3,4,M,6.083,6.167,5.75,3.167,5.417
4,3.5,3.5,M,6.083,6.167,5.75,3.167,5.417
3,3,4,F,6.667,5.75,5.167,4,6.083
3.5,2.5,3.5,M,6.083,6.167,5.75,3.167,5.417
2.5,2.5,3,M,6.083,6.167,5.75,3.167,5.417
3,2.5,4,F,6.667,5.75,5.167,4,6.083
2.5,3,3,M,6.083,6.167,5.75,3.167,5.417
4.5,4,5,F,6.667,5.75,5.167,4,6.083
2.5,2.5,4,M,6.083,6.167,5.75,3.167,5.417
3.5,3,4,F,6.667,5.75,5.167,4,6.083
4.5,3,4,M,6.083,6.167,5.75,3.167,5.417
4,3.5,4.5,F,6.667,5.75,5.167,4,6.083
4,3.5,4.5,M,6.083,6.167,5.75,3.167,5.417
4,4,4.5,F,6.667,5.75,5.167,4,6.083
4,3,4.5,M,6.083,6.167,5.75,3.167,5.417
3.5,3.5,4,F,6.667,5.75,5.167,4,6.083
3.5,2.5,4,M,6.083,6.167,5.75,3.167,5.417
3,3,4,M,6.083,6.167,5.75,3.167,5.417
4,3,4.5,F,6.667,5.75,5.167,4,6.083
4,3,4.5,M,6.083,6.167,5.75,3.167,5.417
3.5,3,4.5,F,6.667,5.75,5.167,4,6.083
2.3333,2.3333,2,F,5.25,2.833,5,5.583,3.917
2.3333,1.6667,2,F,5.25,2.833,5,5.583,3.917
1.6667,2.3333,3,M,5,5.083,5,2.667,4.75
2.3333,2.6667,2.3333,F,5.25,2.833,5,5.583,3.917
2,2.3333,3,M,5,5.083,5,2.667,4.75
3,2.6667,3,F,5.25,2.833,5,5.583,3.917
3,2.3333,2.6667,M,5,5.083,5,2.667,4.75
2,2,2,F,5.25,2.833,5,5.583,3.917
2,2,3,M,5,5.083,5,2.667,4.75
1.6667,2,2,F,5.25,2.833,5,5.583,3.917
2,2,3,M,5,5.083,5,2.667,4.75
2.3333,3.3333,1.6667,F,5.25,2.833,5,5.583,3.917
2.6667,2.3333,2.6667,M,5,5.083,5,2.667,4.75
3.6667,3.6667,2.6667,F,5.25,2.833,5,5.583,3.917
2.6667,2.6667,2.6667,M,5,5.083,5,2.667,4.75
2.3333,2.6667,2,F,5.25,2.833,5,5.583,3.917
3,3,2.6667,M,5,5.083,5,2.667,4.75
2.6667,3.6667,2.6667,F,5.25,2.833,5,5.583,3.917
2.6667,3,2.3333,M,5,5.083,5,2.667,4.75
3.6667,3.6667,2.3333,M,5,5.083,5,2.667,4.75
2.6667,3,2.6667,F,5.25,2.833,5,5.583,3.917
3.3333,3.6667,3,M,5,5.083,5,2.667,4.75
3.3333,3.6667,2.3333,F,5.25,2.833,5,5.583,3.917
2.3333,3.3333,2.3333,M,5,5.083,5,2.667,4.75
3,4,2.3333,F,5.25,2.833,5,5.583,3.917
1.3333,2,3,M,5,5.083,5,2.667,4.75
4.3333,3.6667,2.3333,F,5.25,2.833,5,5.583,3.917
2.3333,2.3333,3,M,5,5.083,5,2.667,4.75
1.6667,2.3333,2.6667,F,5.25,2.833,5,5.583,3.917
1.6667,2.3333,3,M,5,5.083,5,2.667,4.75
2.3333,3,3,F,5.25,2.833,5,5.583,3.917
1.6667,2.6667,3,M,5,5.083,5,2.667,4.75
2.6667,3,2.6667,F,5.25,2.833,5,5.583,3.917
2.6667,2.3333,3.6667,M,5,5.083,5,2.667,4.75
3,3.6667,2,F,5.25,2.833,5,5.583,3.917
2.6667,2.6667,3,M,5,5.083,5,2.667,4.75
2.6667,2.3333,2.6667,F,5.25,2.833,5,5.583,3.917
3.3333,3.6667,3,M,5,5.083,5,2.667,4.75
2.6667,2.3333,3,F,5.25,2.833,5,5.583,3.917
4.3333,4,2,M,5,5.083,5,2.667,4.75
4,4.3333,2.3333,F,5.25,2.833,5,5.583,3.917
4,3.6667,2.6667,M,5,5.083,5,2.667,4.75
4,4,2.3333,F,5.25,2.833,5,5.583,3.917
3.3333,2.3333,2.3333,F,5.25,2.833,5,5.583,3.917
3,2.3333,2,M,5,5.083,5,2.667,4.75
2.6667,2.3333,3.3333,F,5.25,2.833,5,5.583,3.917
3.3333,3.3333,2,M,5,5.083,5,2.667,4.75
2.6667,2.6667,2.6667,F,5.25,2.833,5,5.583,3.917
2,2.3333,3,M,5,5.083,5,2.667,4.75
3.3333,3.6667,2.6667,F,5.25,2.833,5,5.583,3.917
1.6667,2,2.6667,M,5,5.083,5,2.667,4.75
2,3,2.6667,M,5,5.083,5,2.667,4.75
2.6667,3,2.6667,F,5.25,2.833,5,5.583,3.917
3.3333,3,2,M,5,5.083,5,2.667,4.75
2.3333,2.3333,2.3333,F,5.25,2.833,5,5.583,3.917
2.6667,2.6667,3,M,5,5.083,5,2.667,4.75
2,2.3333,2.3333,F,5.25,2.833,5,5.583,3.917
3,1.6667,2,M,5,5.083,5,2.667,4.75
3.6667,3.6667,2.3333,F,5.25,2.833,5,5.583,3.917
3,3.3333,2.6667,M,5,5.083,5,2.667,4.75
4.3333,4.6667,1.6667,M,5,5.083,5,2.667,4.75
2,1.6667,2.6667,F,5.25,2.833,5,5.583,3.917
2.3333,1.6667,2.3333,F,5.25,2.833,5,5.583,3.917
2,2.6667,2,F,5.25,2.833,5,5.583,3.917
2.6667,3.3333,2.6667,F,5.25,2.833,5,5.583,3.917
2,1.3333,2,M,5,5.083,5,2.667,4.75
2.6667,2.3333,2.3333,F,5.25,2.833,5,5.583,3.917
3.6667,3.3333,2.6667,M,5,5.083,5,2.667,4.75
2,3,2,M,5,5.083,5,2.667,4.75
3.6667,4,1.6667,F,5.25,2.833,5,5.583,3.917
2.6667,3.3333,3,M,5,5.083,5,2.667,4.75
4,3.6667,3,F,5.25,2.833,5,5.583,3.917
2.3333,2.3333,2.3333,M,5,5.083,5,2.667,4.75
4.3333,4.3333,1.3333,F,5.25,2.833,5,5.583,3.917
3.3333,3,3,M,5,5.083,5,2.667,4.75
3.6667,3.6667,2,F,5.25,2.833,5,5.583,3.917
4,4,3,M,5,5.083,5,2.667,4.75
3.6667,3.6667,2.6667,M,5,5.083,5,2.667,4.75
3,3.6667,2.3333,F,5.25,2.833,5,5.583,3.917
1.6667,2,3,M,5,5.083,5,2.667,4.75
2.6667,4,2.3333,F,5.25,2.833,5,5.583,3.917
1.6667,2,3,M,5,5.083,5,2.667,4.75
4.6667,4.3333,1.6667,F,5.25,2.833,5,5.583,3.917
2.6667,2.3333,2.6667,M,5,5.083,5,2.667,4.75
4,3.6667,2,F,5.25,2.833,5,5.583,3.917
2.6667,3.6667,3,M,5,5.083,5,2.667,4.75
2.3333,2,2.3333,F,5.25,2.833,5,5.583,3.917
2.3333,3.3333,3,M,5,5.083,5,2.667,4.75
1.3333,1.3333,2.3333,F,5.25,2.833,5,5.583,3.917
2.5,3,2.5,F,6,3.25,3.333,6.333,4.083
2.5,3,2.5,M,3.333,5.5,5.75,2.083,4.417
2,3.5,2.5,F,6,3.25,3.333,6.333,4.083
3,2.5,3,M,3.333,5.5,5.75,2.083,4.417
2.5,4.5,2.5,F,6,3.25,3.333,6.333,4.083
3,3,3,M,3.333,5.5,5.75,2.083,4.417
3.5,4,2,M,3.333,5.5,5.75,2.083,4.417
2.5,4,2,F,6,3.25,3.333,6.333,4.083
3,2.5,2.5,M,3.333,5.5,5.75,2.083,4.417
2.5,3.5,2.5,F,6,3.25,3.333,6.333,4.083
2.5,3,3,M,3.333,5.5,5.75,2.083,4.417
3.5,4.5,1.5,F,6,3.25,3.333,6.333,4.083
3.5,3,2.5,M,3.333,5.5,5.75,2.083,4.417
4,4.5,1.5,F,6,3.25,3.333,6.333,4.083
3.5,3.5,2.5,M,3.333,5.5,5.75,2.083,4.417
4.5,4.5,1.5,F,6,3.25,3.333,6.333,4.083
3.5,3,2,M,3.333,5.5,5.75,2.083,4.417
4.5,4.5,1.5,F,6,3.25,3.333,6.333,4.083
3,2.5,2.5,M,3.333,5.5,5.75,2.083,4.417
2,4.5,1.5,F,6,3.25,3.333,6.333,4.083
2.5,3.5,1.5,M,3.333,5.5,5.75,2.083,4.417
3.5,4.5,1.5,F,6,3.25,3.333,6.333,4.083
